iter	RMSE
0	6.029460899
1	5.849635998
2	5.675156636
3	5.50593648
4	5.341793766
5	5.182570821
6	5.028026135
7	4.878139122
8	4.732730174
9	4.591678951
10	4.454805191
11	4.32205951
12	4.193302366
13	4.068476937
14	3.947272316
15	3.829728719
16	3.71566617
17	3.605044323
18	3.497761156
19	3.393642326
20	3.2927274
21	3.194826515
22	3.099818038
23	3.007648391
24	2.918233946
25	2.831654538
26	2.747519397
27	2.665964019
28	2.586789046
29	2.510035384
30	2.435643025
31	2.363412916
32	2.293372372
33	2.225501152
34	2.159654655
35	2.095722424
36	2.033662275
37	1.973496289
38	1.91521314
39	1.858666367
40	1.803825596
41	1.750591459
42	1.699012758
43	1.648970695
44	1.600418801
45	1.553257089
46	1.507585491
47	1.463318718
48	1.420282159
49	1.37866295
50	1.338237515
51	1.299051442
52	1.261031754
53	1.224132375
54	1.188389826
55	1.153741636
56	1.120143892
57	1.087494082
58	1.055899179
59	1.025270766
60	0.9955197286
61	0.966734624
62	0.9387894948
63	0.911727635
64	0.885485608
65	0.8600274305
66	0.8353570557
67	0.811385292
68	0.7882374932
69	0.7657383104
70	0.7439438638
71	0.7228297253
72	0.7023673754
73	0.6825570755
74	0.6633286579
75	0.6446801773
76	0.6266210366
77	0.6091208144
78	0.592159643
79	0.5756679055
80	0.5596688691
81	0.5442059306
82	0.5292596473
83	0.5147502215
84	0.5007266919
85	0.4871443232
86	0.4739777041
87	0.4611967699
88	0.4488098268
89	0.4368451756
90	0.4252808725
91	0.4141008286
92	0.4031990576
93	0.3926625476
94	0.3824195634
95	0.3725621399
96	0.3629780502
97	0.3536766744
98	0.3447142216
99	0.3360807898
100	0.3277080433
101	0.3195998045
102	0.3117792403
103	0.3041987554
104	0.2969242915
105	0.2898976073
106	0.2830237199
107	0.2764197649
108	0.2700512574
109	0.2638520348
110	0.2579094908
111	0.2521976385
112	0.2466277931
113	0.2412730702
114	0.2361174496
115	0.2311333437
116	0.226353416
117	0.2217212161
118	0.2172556901
119	0.2130015704
120	0.2088617624
121	0.2048603717
122	0.2010669535
123	0.197399201
124	0.1938556224
125	0.1904201655
126	0.1871436735
127	0.1839066472
128	0.18085057
129	0.1778894964
130	0.1751046971
131	0.1724021073
132	0.169845769
133	0.1673342617
134	0.1649287824
135	0.1626852368
136	0.1604654038
137	0.158391947
138	0.1563525345
139	0.1544080791
140	0.1525669577
141	0.1507547506
142	0.1490069785
143	0.1473254077
144	0.1456943976
145	0.144189442
146	0.1427401334
147	0.1413679855
148	0.1400641414
149	0.1387238593
150	0.1375243369
151	0.1363612114
152	0.1353237247
153	0.1342828049
154	0.1332962029
155	0.1323181368
156	0.1313837603
157	0.1304840295
158	0.1296566496
159	0.1287814789
160	0.1279921904
161	0.1272283746
162	0.1265121909
163	0.1258387402
164	0.125138515
165	0.1244845728
166	0.1239141732
167	0.1233195043
168	0.1227242199
169	0.1221918948
170	0.1217037205
171	0.1212083965
172	0.1207101332
173	0.1202506809
174	0.1198149447
175	0.1193896566
176	0.1189843083
177	0.1186248145
178	0.1182585702
179	0.117914042
180	0.1176019654
181	0.1172536899
182	0.1169381354
183	0.1166373865
184	0.1163400086
185	0.116056506
186	0.1157938329
187	0.115521408
188	0.1152896171
189	0.1150541096
190	0.1147994945
191	0.1145655164
192	0.1143473592
193	0.1141327802
194	0.1139325389
195	0.1137397143
196	0.1135827784
197	0.1133797725
198	0.1131923666
199	0.1130062308
200	0.1128519105
201	0.1126834701
202	0.1125033438
203	0.1123331314
204	0.1121771643
205	0.1120444046
206	0.1119056958
207	0.1117908616
208	0.1116614189
209	0.1115208557
210	0.1113864766
211	0.1112533881
212	0.1111389809
213	0.1110211753
214	0.1109133523
215	0.1108031729
216	0.1106921991
217	0.1105865039
218	0.1104669553
219	0.1103852458
220	0.1102872514
221	0.1101977541
222	0.110087213
223	0.1100106432
224	0.1099061126
225	0.1098234657
226	0.1097442624
227	0.1096603993
228	0.109592815
229	0.1095123603
230	0.1094477392
231	0.1093556263
232	0.1092816473
233	0.1092033935
234	0.1091314955
235	0.1090675678
236	0.1090066667
237	0.1089459595
238	0.1088799803
239	0.1088157039
240	0.1087542109
241	0.1086867425
242	0.108642265
243	0.1085764421
244	0.1085313598
245	0.1084795287
246	0.1084167181
247	0.1083590965
248	0.1083070766
249	0.1082604319
250	0.1082000424
251	0.1081337465
252	0.108089073
253	0.1080438741
254	0.1079720067
255	0.1079272226
256	0.107876881
257	0.1078239419
258	0.1077727223
259	0.1077332766
260	0.1076993382
261	0.1076668317
262	0.1076102562
263	0.1075644784
264	0.1075230951
265	0.1074707712
266	0.1074305854
267	0.1073755616
268	0.1073368917
269	0.1072826209
270	0.1072321266
271	0.1071960534
272	0.1071472995
273	0.107109712
274	0.1070717488
275	0.1070235754
276	0.1069722088
277	0.1069294998
278	0.1068983009
279	0.106863041
280	0.1068143712
281	0.1067613905
282	0.1067146938
283	0.1066733826
284	0.1066373161
285	0.106571804
286	0.1065258371
287	0.1064877152
288	0.1064538681
289	0.1064018893
290	0.1063631893
291	0.1063358186
292	0.1063242551
293	0.1062893081
294	0.1062666033
295	0.1062309841
296	0.1061906308
297	0.1061497997
298	0.1061092209
299	0.1060715137
300	0.106012679
301	0.1059776011
302	0.105947341
303	0.1059146434
304	0.1058721247
305	0.1058328921
306	0.105791245
307	0.1057637407
308	0.1057350937
309	0.1057050593
310	0.105681469
311	0.1056429091
312	0.1056154777
313	0.105587889
314	0.1055664448
315	0.1055386008
316	0.1055075919
317	0.1054728475
318	0.1054448196
319	0.1054205994
320	0.1053950688
321	0.1053514497
322	0.1053168829
323	0.105272262
324	0.1052495657
325	0.1052102296
326	0.1051741564
327	0.1051417289
328	0.105102276
329	0.105071175
330	0.1050253394
331	0.1049817662
332	0.1049512377
333	0.1049368376
334	0.1048973013
335	0.1048459286
336	0.1048257447
337	0.1047947253
338	0.1047671318
339	0.1047494419
340	0.104722775
341	0.1046944455
342	0.1046508509
343	0.1046252921
344	0.1046007492
345	0.1045717723
346	0.1045457731
347	0.104513882
348	0.104489205
349	0.1044491924
350	0.1044270167
351	0.104403438
352	0.1043758906
353	0.1043363237
354	0.1043003849
355	0.10427201
356	0.1042419194
357	0.1042079909
358	0.1041812939
359	0.1041371195
360	0.1041138288
361	0.1040787723
362	0.1040564187
363	0.1040341683
364	0.1040127125
365	0.1039873101
366	0.103965524
367	0.1039505198
368	0.1039241438
369	0.1039047976
370	0.103866716
371	0.1038420366
372	0.1038113351
373	0.1037782136
374	0.1037405884
375	0.10371543
376	0.1036786894
377	0.1036371451
378	0.1036201025
379	0.1035866191
380	0.1035489057
381	0.1034976274
382	0.1034651836
383	0.103449924
384	0.1034376893
385	0.1034151635
386	0.1033810924
387	0.1033590219
388	0.1033153902
389	0.1032916133
390	0.1032708775
391	0.1032335584
392	0.1032106897
393	0.103182302
394	0.1031571826
395	0.10313262
396	0.1031016579
397	0.103084546
398	0.103070603
399	0.1030485003
400	0.1030305949
401	0.1029974048
402	0.1029598378
403	0.1029276743
404	0.1029152051
405	0.1028902111
406	0.1028647536
407	0.10284846
408	0.1028306986
409	0.1028117874
410	0.1027865383
411	0.1027716931
412	0.1027533158
413	0.1027244611
414	0.1027102041
415	0.1026883025
416	0.1026509612
417	0.1026256163
418	0.1026049339
419	0.1025802733
420	0.1025575371
421	0.1025285414
422	0.1025128972
423	0.1024979756
424	0.1024766833
425	0.1024620131
426	0.1024440483
427	0.1024311797
428	0.1023996618
429	0.1023739359
430	0.1023591901
431	0.102342072
432	0.1023206112
433	0.1023007691
434	0.102279575
435	0.1022604454
436	0.1022489656
437	0.1022248253
438	0.102202546
439	0.1021860704
440	0.1021715634
441	0.1021350444
442	0.1021247638
443	0.1021035756
444	0.1020868526
445	0.1020659347
446	0.1020346598
447	0.1020039873
448	0.1019804259
449	0.1019594953
450	0.1019228833
451	0.1019081845
452	0.1018820466
453	0.1018721323
454	0.1018543019
455	0.1018399974
456	0.1018220865
457	0.1018081335
458	0.1017982057
459	0.1017671552
460	0.1017365291
461	0.1017029692
