iter	Passed	Remaining
0	25	12925
1	46	11666
2	68	11286
3	88	10960
4	109	10858
5	130	10728
6	150	10595
7	170	10494
8	190	10417
9	211	10371
10	231	10306
11	252	10259
12	273	10234
13	293	10189
14	314	10162
15	334	10124
16	355	10106
17	375	10066
18	396	10031
19	416	9992
20	436	9960
21	457	9940
22	477	9909
23	498	9884
24	518	9853
25	539	9840
26	560	9814
27	580	9782
28	601	9761
29	621	9735
30	641	9707
31	662	9684
32	682	9659
33	703	9638
34	723	9616
35	744	9589
36	764	9566
37	785	9547
38	805	9526
39	826	9509
40	847	9492
41	869	9477
42	889	9454
43	910	9437
44	930	9410
45	951	9387
46	971	9364
47	991	9340
48	1012	9317
49	1033	9298
50	1053	9275
51	1073	9251
52	1094	9229
53	1116	9221
54	1137	9204
55	1158	9182
56	1178	9156
57	1199	9138
58	1219	9115
59	1239	9091
60	1260	9071
61	1281	9051
62	1302	9033
63	1322	9010
64	1343	8988
65	1364	8970
66	1384	8948
67	1404	8924
68	1425	8901
69	1445	8877
70	1465	8854
71	1485	8832
72	1506	8811
73	1526	8789
74	1546	8765
75	1566	8740
76	1586	8717
77	1606	8693
78	1627	8672
79	1657	8703
80	1679	8689
81	1700	8666
82	1720	8642
83	1740	8619
84	1765	8621
85	1787	8604
86	1811	8600
87	1832	8579
88	1852	8554
89	1872	8529
90	1892	8504
91	1911	8479
92	1932	8457
93	1952	8431
94	1972	8407
95	1991	8382
96	2011	8357
97	2031	8333
98	2053	8316
99	2073	8294
100	2094	8273
101	2114	8250
102	2134	8228
103	2155	8206
104	2174	8181
105	2194	8157
106	2215	8136
107	2235	8115
108	2256	8092
109	2276	8069
110	2296	8047
111	2316	8023
112	2335	8000
113	2355	7976
114	2375	7954
115	2395	7931
116	2415	7906
117	2435	7884
118	2455	7862
119	2474	7837
120	2494	7814
121	2514	7791
122	2535	7769
123	2555	7747
124	2575	7726
125	2596	7706
126	2615	7682
127	2636	7661
128	2656	7639
129	2676	7617
130	2696	7594
131	2715	7571
132	2736	7550
133	2755	7527
134	2776	7506
135	2797	7487
136	2817	7464
137	2836	7441
138	2856	7419
139	2876	7396
140	2896	7375
141	2917	7354
142	2936	7331
143	2956	7310
144	2976	7288
145	2996	7265
146	3016	7244
147	3037	7224
148	3058	7203
149	3079	7185
150	3099	7163
151	3119	7142
152	3138	7118
153	3158	7095
154	3177	7073
155	3197	7051
156	3217	7029
157	3237	7008
158	3257	6986
159	3278	6966
160	3298	6945
161	3320	6927
162	3340	6906
163	3360	6884
164	3380	6864
165	3401	6842
166	3420	6821
167	3440	6799
168	3460	6778
169	3480	6757
170	3500	6734
171	3520	6714
172	3541	6694
173	3561	6673
174	3582	6653
175	3602	6632
176	3623	6611
177	3642	6590
178	3662	6568
179	3682	6547
180	3702	6525
181	3723	6506
182	3743	6485
183	3764	6465
184	3784	6444
185	3804	6422
186	3824	6400
187	3844	6380
188	3865	6360
189	3885	6339
190	3905	6319
191	3925	6297
192	3945	6276
193	3965	6254
194	3986	6235
195	4006	6214
196	4027	6194
197	4047	6173
198	4067	6152
199	4088	6132
200	4109	6112
201	4128	6091
202	4150	6072
203	4171	6052
204	4192	6032
205	4212	6012
206	4232	5991
207	4253	5971
208	4273	5950
209	4293	5929
210	4313	5908
211	4334	5888
212	4354	5866
213	4374	5846
214	4394	5825
215	4414	5804
216	4434	5783
217	4455	5763
218	4475	5743
219	4495	5721
220	4515	5701
221	4537	5681
222	4557	5661
223	4577	5640
224	4598	5620
225	4618	5599
226	4638	5578
227	4658	5557
228	4678	5536
229	4699	5516
230	4719	5496
231	4740	5476
232	4760	5454
233	4780	5434
234	4801	5414
235	4821	5393
236	4841	5372
237	4863	5354
238	4884	5334
239	4904	5313
240	4925	5293
241	4945	5272
242	4965	5251
243	4985	5230
244	5005	5209
245	5025	5189
246	5045	5167
247	5064	5146
248	5084	5125
249	5104	5104
250	5124	5083
251	5143	5062
252	5163	5041
253	5183	5020
254	5204	4999
255	5224	4979
256	5245	4959
257	5265	4939
258	5285	4918
259	5305	4897
260	5325	4876
261	5345	4856
262	5366	4835
263	5386	4815
264	5406	4794
265	5427	4774
266	5447	4753
267	5468	4733
268	5488	4712
269	5509	4693
270	5530	4673
271	5551	4653
272	5570	4632
273	5590	4611
274	5609	4589
275	5629	4568
276	5649	4548
277	5669	4527
278	5689	4507
279	5709	4486
280	5736	4470
281	5756	4449
282	5775	4428
283	5795	4408
284	5815	4386
285	5835	4366
286	5856	4346
287	5876	4326
288	5896	4305
289	5916	4284
290	5937	4264
291	5957	4243
292	5965	4214
293	5985	4193
294	6005	4173
295	6025	4152
296	6045	4132
297	6067	4112
298	6087	4092
299	6107	4071
300	6128	4051
301	6149	4031
302	6169	4011
303	6189	3990
304	6209	3970
305	6230	3949
306	6250	3929
307	6269	3908
308	6289	3887
309	6309	3867
310	6330	3846
311	6350	3826
312	6374	3808
313	6397	3789
314	6419	3770
315	6441	3750
316	6461	3729
317	6480	3709
318	6501	3688
319	6520	3667
320	6540	3647
321	6560	3626
322	6580	3606
323	6601	3586
324	6621	3565
325	6640	3544
326	6660	3523
327	6681	3503
328	6702	3483
329	6722	3463
330	6742	3442
331	6763	3422
332	6783	3401
333	6803	3381
334	6823	3360
335	6844	3340
336	6864	3320
337	6884	3299
338	6905	3279
339	6925	3259
340	6945	3238
341	6966	3218
342	6985	3197
343	7006	3177
344	7027	3157
345	7046	3136
346	7067	3116
347	7088	3095
348	7108	3075
349	7128	3054
350	7149	3034
351	7169	3014
352	7190	2994
353	7209	2973
354	7230	2953
355	7251	2933
356	7270	2912
357	7291	2892
358	7310	2871
359	7331	2850
360	7351	2830
361	7370	2809
362	7390	2789
363	7410	2768
364	7430	2748
365	7450	2727
366	7470	2707
367	7490	2686
368	7511	2666
369	7531	2646
370	7552	2625
371	7571	2605
372	7592	2585
373	7611	2564
374	7631	2543
375	7652	2523
376	7672	2503
377	7692	2482
378	7712	2462
379	7732	2441
380	7753	2421
381	7773	2401
382	7794	2381
383	7814	2360
384	7834	2340
385	7854	2319
386	7874	2299
387	7895	2279
388	7915	2258
389	7936	2238
390	7956	2218
391	7978	2198
392	7998	2177
393	8018	2157
394	8038	2136
395	8058	2116
396	8079	2096
397	8099	2075
398	8118	2055
399	8139	2034
400	8160	2014
401	8181	1994
402	8201	1974
403	8222	1953
404	8242	1933
405	8262	1913
406	8283	1892
407	8303	1872
408	8323	1851
409	8343	1831
410	8364	1811
411	8384	1790
412	8404	1770
413	8425	1750
414	8446	1729
415	8465	1709
416	8485	1689
417	8506	1668
418	8526	1648
419	8547	1628
420	8567	1607
421	8588	1587
422	8608	1566
423	8628	1546
424	8648	1526
425	8668	1505
426	8688	1485
427	8709	1465
428	8729	1444
429	8750	1424
430	8770	1404
431	8790	1383
432	8811	1363
433	8832	1343
434	8852	1322
435	8872	1302
436	8892	1282
437	8913	1261
438	8936	1241
439	8957	1221
440	8977	1201
441	9000	1181
442	9013	1159
443	9033	1139
444	9053	1118
445	9073	1098
446	9092	1078
447	9112	1057
448	9133	1037
449	9153	1017
450	9174	996
451	9194	976
452	9214	956
453	9224	934
454	9244	914
455	9264	893
456	9284	873
457	9304	853
458	9314	832
459	9334	811
460	9354	791
461	9375	771
462	9395	750
463	9417	730
464	9437	710
465	9457	690
466	9478	669
467	9499	649
468	9519	629
469	9540	608
470	9559	588
471	9579	568
472	9600	548
473	9621	527
474	9641	507
475	9661	487
476	9682	466
477	9702	446
478	9722	426
479	9742	405
480	9762	385
481	9783	365
482	9804	345
483	9826	324
484	9846	304
485	9866	284
486	9889	264
487	9910	243
488	9930	223
489	9952	203
490	9972	182
491	9992	162
492	10012	142
493	10033	121
494	10052	101
495	10074	81
496	10097	60
497	10118	40
498	10138	20
499	10158	0
